graph_id,algorithm,vertices,edges,total_cost,operations_count,execution_time_ms
1,prim,9,11,31.0,101,0.2199
1,kruskal,9,11,31.0,203,0.322
2,prim,10,11,37.0,106,0.0765
2,kruskal,10,11,37.0,227,0.0948
3,prim,11,11,55.0,109,0.1804
3,kruskal,11,11,55.0,239,0.0363
4,prim,8,8,28.0,79,0.088
4,kruskal,8,8,28.0,173,0.0436
5,prim,9,9,44.0,89,0.0768
5,kruskal,9,9,44.0,186,0.0298
6,prim,10,10,36.0,101,0.1013
6,kruskal,10,10,36.0,226,0.0508
7,prim,7,6,21.0,64,0.081
7,kruskal,7,6,21.0,150,0.0297
8,prim,10,10,38.0,99,0.1002
8,kruskal,10,10,38.0,226,0.0547
9,prim,9,9,32.0,89,0.0783
9,kruskal,9,9,32.0,189,0.1124
10,prim,10,9,43.0,94,0.0959
10,kruskal,10,9,43.0,214,0.0675
